trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
43,False,"{'a': 0.5, 'e': 0.7849999999999998}",20,0,-51.94198666084469,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
44,False,"{'a': 0.5, 'e': 0.7799999999999998}",25,8,-47.716548718890344,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 1}",1
45,False,"{'a': 0.5, 'e': 0.7749999999999998}",20,0,-28.485826770077594,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
46,False,"{'a': 0.5, 'e': 0.7699999999999998}",25,0,-22.138771208008993,"{0: 20, 1: 0, 2: 5, 3: 0, 4: 0}",0
47,False,"{'a': 0.5, 'e': 0.7649999999999998}",25,0,-150.54198536356077,"{0: 13, 1: 1, 2: 9, 3: 0, 4: 2}",0
48,False,"{'a': 0.5, 'e': 0.7599999999999998}",20,0,-45.04902820745073,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
49,False,"{'a': 0.5, 'e': 0.7549999999999998}",30,0,-72.99833671923403,"{0: 22, 1: 2, 2: 5, 3: 0, 4: 1}",0
50,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-16.55761315438878,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
51,False,"{'a': 0.5, 'e': 0.7449999999999998}",20,0,-12.088268137502679,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
52,False,"{'a': 0.5, 'e': 0.7399999999999998}",20,10,-8.42217076691001,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
53,False,"{'a': 0.5, 'e': 0.7349999999999998}",25,0,-78.66950171165217,"{0: 16, 1: 2, 2: 5, 3: 2, 4: 0}",0
54,False,"{'a': 0.5, 'e': 0.7299999999999998}",20,0,-57.50101616589359,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
55,False,"{'a': 0.5, 'e': 0.7249999999999998}",25,7,-76.08938868045597,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 1}",1
56,False,"{'a': 0.5, 'e': 0.7199999999999998}",20,0,-16.018092042139696,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
57,False,"{'a': 0.5, 'e': 0.7149999999999997}",20,0,-110.23607462203958,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
58,False,"{'a': 0.5, 'e': 0.7099999999999997}",25,0,-33.64752491783321,"{0: 17, 1: 5, 2: 3, 3: 0, 4: 0}",0
59,False,"{'a': 0.5, 'e': 0.7049999999999997}",20,0,-77.90417914441808,"{0: 11, 1: 1, 2: 7, 3: 1, 4: 0}",0
60,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-62.41946852094617,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
61,False,"{'a': 0.5, 'e': 0.6949999999999997}",20,0,-34.064500253483466,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
62,False,"{'a': 0.5, 'e': 0.6899999999999997}",25,18,1.4890596486453684,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
63,False,"{'a': 0.5, 'e': 0.6849999999999997}",30,0,-18.81132804270334,"{0: 25, 1: 0, 2: 5, 3: 0, 4: 0}",0
64,False,"{'a': 0.5, 'e': 0.6799999999999997}",30,18,4.39045542453162,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
65,False,"{'a': 0.5, 'e': 0.6749999999999997}",20,9,-41.759039462740375,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 1}",1
66,False,"{'a': 0.5, 'e': 0.6699999999999997}",20,0,-6.767764692100698,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
67,False,"{'a': 0.5, 'e': 0.6649999999999997}",20,0,-5.266173414378001,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
68,False,"{'a': 0.5, 'e': 0.6599999999999997}",20,12,-7.408771144696544,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
69,False,"{'a': 0.5, 'e': 0.6549999999999997}",20,0,-31.44872263270714,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
70,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-16.26312136493951,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
71,False,"{'a': 0.5, 'e': 0.6449999999999997}",30,0,-35.00458922395932,"{0: 22, 1: 2, 2: 6, 3: 0, 4: 0}",0
72,False,"{'a': 0.5, 'e': 0.6399999999999997}",20,0,-79.59294578335754,"{0: 15, 1: 0, 2: 2, 3: 2, 4: 1}",0
73,False,"{'a': 0.5, 'e': 0.6349999999999997}",30,15,-18.12889620675869,"{0: 12, 1: 0, 2: 2, 3: 1, 4: 0}",1
74,False,"{'a': 0.5, 'e': 0.6299999999999997}",25,0,-67.07990185659713,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 2}",0
