trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
44,False,"{'a': 0.5, 'e': 0.9119999999999999}",30,0,-246.33082043724,"{0: 18, 1: 0, 2: 7, 3: 0, 4: 5}",0
45,False,"{'a': 0.5, 'e': 0.9099999999999999}",20,0,-144.12635196491425,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 3}",0
46,False,"{'a': 0.5, 'e': 0.9079999999999999}",25,0,-197.34983702450705,"{0: 14, 1: 1, 2: 5, 3: 2, 4: 3}",0
47,False,"{'a': 0.5, 'e': 0.9059999999999999}",25,0,-119.49543373443291,"{0: 16, 1: 1, 2: 5, 3: 2, 4: 1}",0
48,False,"{'a': 0.5, 'e': 0.9039999999999999}",25,0,-216.14391027763537,"{0: 13, 1: 2, 2: 6, 3: 0, 4: 4}",0
49,False,"{'a': 0.5, 'e': 0.9019999999999999}",25,6,-73.16873786280225,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 0}",1
50,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-170.83216379237146,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 3}",0
51,False,"{'a': 0.5, 'e': 0.8979999999999999}",20,0,-164.95986278978705,"{0: 12, 1: 1, 2: 2, 3: 2, 4: 3}",0
52,False,"{'a': 0.5, 'e': 0.8959999999999999}",30,0,-231.05982978674956,"{0: 11, 1: 6, 2: 9, 3: 2, 4: 2}",0
53,False,"{'a': 0.5, 'e': 0.8939999999999999}",20,0,-110.91539912942423,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
54,False,"{'a': 0.5, 'e': 0.8919999999999999}",20,0,-117.22407687359319,"{0: 12, 1: 4, 2: 1, 3: 1, 4: 2}",0
55,False,"{'a': 0.5, 'e': 0.8899999999999999}",25,0,-109.8799631873218,"{0: 13, 1: 4, 2: 6, 3: 2, 4: 0}",0
56,False,"{'a': 0.5, 'e': 0.8879999999999999}",25,0,-138.47711640652176,"{0: 16, 1: 0, 2: 6, 3: 1, 4: 2}",0
57,False,"{'a': 0.5, 'e': 0.8859999999999999}",20,0,-106.17981640231253,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
58,False,"{'a': 0.5, 'e': 0.8839999999999999}",20,0,-19.389591553734117,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
59,False,"{'a': 0.5, 'e': 0.8819999999999999}",20,0,-73.64465152537628,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
60,False,"{'a': 0.5, 'e': 0.8799999999999999}",20,0,-73.08183416933915,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",0
